"item","protein","carbs","fats"
"BUTTER,WITH SALT",0.85,0.06,51.368
"BUTTER,WHIPPED,WITH SALT",0.85,0.06,50.489
"BUTTER OIL,ANHYDROUS",0.28,0,61.924
"CHEESE,BLUE",21.4,2.34,18.669
"CHEESE,BRICK",23.24,2.79,18.764
"CHEESE,BRIE",20.75,0.45,17.41
"CHEESE,CAMEMBERT",19.8,0.46,15.259
"CHEESE,CARAWAY",25.18,3.06,18.584
"CHEESE,CHEDDAR",24.9,1.28,21.092
"CHEESE,CHESHIRE",23.37,4.78,19.475
"CHEESE,COLBY",23.76,2.57,20.218
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",11.12,3.38,1.718
"CHEESE,COTTAGE,CRMD,W/FRUIT",10.69,4.61,2.311
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",10.34,6.66,0.169
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",11.83,3.66,0.979
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",12.39,2.72,0.645
"CHEESE,CREAM",5.93,4.07,19.292
"CHEESE,EDAM",24.99,1.43,17.572
"CHEESE,FETA",14.21,4.09,14.946
"CHEESE,FONTINA",25.6,1.55,19.196
"CHEESE,GJETOST",9.65,42.65,19.16
"CHEESE,GOUDA",24.94,2.22,17.614
"CHEESE,GRUYERE",29.81,0.36,18.913
"CHEESE,LIMBURGER",20.05,0.49,16.746
"CHEESE,MONTEREY",24.48,0.68,19.066
"CHEESE,MOZZARELLA,WHL MILK",22.17,2.19,13.152
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",21.6,2.47,15.561
"CHEESE,MOZZARELLA,PART SKIM MILK",24.26,2.77,10.114
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",25.96,3.83,12.67
"CHEESE,MUENSTER",23.41,1.12,19.113
"CHEESE,NEUFCHATEL",9.15,3.59,12.79
"CHEESE,PARMESAN,GRATED",38.46,4.06,17.301
"CHEESE,PARMESAN,HARD",35.75,3.22,16.41
"CHEESE,PORT DE SALUT",23.78,0.57,16.691
"CHEESE,PROVOLONE",25.58,2.14,17.078
"CHEESE,RICOTTA,WHOLE MILK",11.26,3.04,8.295
"CHEESE,RICOTTA,PART SKIM MILK",11.39,5.14,4.927
"CHEESE,ROMANO",31.8,3.63,17.115
"CHEESE,ROQUEFORT",21.54,2,19.263
"CHEESE,SWISS",26.93,5.38,17.779
"CHEESE,TILSIT",24.41,1.88,16.775
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",22.15,1.6,19.694
"CHEESE,PAST PROCESS,PIMENTO",22.13,1.73,19.663
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",24.73,2.1,16.045
"CHEESE FD,COLD PK,AMERICAN",19.66,8.32,15.355
"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",18.4,7.83,14.895
"CHEESE FD,PAST PROCESS,SWISS",21.92,4.5,15.487
"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",16.41,8.73,13.327
"CREAM,FLUID,HALF AND HALF",2.96,4.3,7.158
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",2.7,3.66,12.02
"CREAM,FLUID,LT WHIPPING",2.17,2.96,19.337
"CREAM,FLUID,HVY WHIPPING",2.05,2.79,23.032
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",3.2,12.49,13.831
"CREAM,SOUR,RED FAT,CULTURED",2.94,4.26,7.47
"CREAM,SOUR,CULTURED",2.07,2.88,11.507
"EGGNOG",3.81,13.54,4.443
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",3.25,4.68,13.272
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",3.33,4.74,0.768
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",3.33,4.74,3.101
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",1,11.38,1.937
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",1,11.38,9.304
"CREAM SUBSTITUTE,POWDERED",4.79,54.88,32.525
"DESSERT TOPPING,POWDERED",4.9,52.54,36.723
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",3.6,16.53,10.684
"DESSERT TOPPING,PRESSURIZED",0.98,16.07,18.912
"DESSERT TOPPING,SEMI SOLID,FRZ",1.25,23.05,21.783
"SOUR CRM,IMITN,CULTURED",2.4,6.63,17.791
"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",1.75,6.16,0.767
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",1.75,6.16,3.037
"MILK,WHL,3.25% MILKFAT",3.22,4.52,1.865
"MILK,PRODUCER,FLUID,3.7% MILKFAT",3.28,4.65,2.278
"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",3.3,4.68,1.257
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",3.48,4.97,1.195
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",3.95,5.49,1.232
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",3.37,4.99,0.633
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",3.48,4.97,0.604
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",3.93,5.52,0.728
